frame,ctrl_name,cam_idx,led_id,depth_m,facing_cos,brightness,area
84025414401185.png,right_controller,0,22,0.29641,0.35315,73.0,3.00
84025414401185.png,right_controller,0,23,0.30721,0.61894,160.0,5.00
84025414401185.png,right_controller,0,24,0.31349,0.73713,91.0,3.00
84025414401185.png,right_controller,0,26,0.29023,0.22340,76.0,4.00
84025414401185.png,right_controller,0,27,0.30081,0.45846,84.0,3.50
84025414401185.png,right_controller,0,28,0.28961,0.26546,101.0,2.50
84025414401185.png,right_controller,0,29,0.30589,0.61416,180.0,6.50
84025414401185.png,right_controller,0,30,0.28547,0.14041,57.0,3.00
84025414401185.png,right_controller,0,31,0.29517,0.41478,143.0,6.00
84025436590217.png,right_controller,0,20,0.30727,0.63493,92.0,5.50
84025436590217.png,right_controller,0,21,0.31512,0.71248,36.0,1.00
84025436590217.png,right_controller,0,22,0.29604,0.34646,75.0,3.00
84025436590217.png,right_controller,0,23,0.30698,0.61545,153.0,5.50
84025436590217.png,right_controller,0,24,0.31359,0.73929,89.0,2.00
84025436590217.png,right_controller,0,26,0.28996,0.21856,73.0,5.00
84025436590217.png,right_controller,0,27,0.30040,0.45150,81.0,3.50
84025436590217.png,right_controller,0,28,0.28992,0.27196,98.0,1.50
84025436590217.png,right_controller,0,29,0.30582,0.61367,177.0,6.50
84025436590217.png,right_controller,0,30,0.28550,0.14155,56.0,3.00
84025436590217.png,right_controller,0,31,0.29553,0.42184,137.0,6.00
84025447697026.png,right_controller,0,20,0.30737,0.63332,94.0,5.50
84025447697026.png,right_controller,0,21,0.31541,0.71438,36.0,1.00
84025447697026.png,right_controller,0,22,0.29632,0.34854,77.0,3.00
84025447697026.png,right_controller,0,23,0.30726,0.61710,155.0,5.50
84025447697026.png,right_controller,0,24,0.31375,0.73886,90.0,2.00
84025447697026.png,right_controller,0,26,0.29019,0.21969,76.0,4.00
84025447697026.png,right_controller,0,27,0.30071,0.45399,87.0,3.50
84025447697026.png,right_controller,0,28,0.28996,0.26912,105.0,2.50
84025447697026.png,right_controller,0,29,0.30605,0.61431,181.0,7.50
84025447697026.png,right_controller,0,30,0.28562,0.14033,58.0,4.00
84025447697026.png,right_controller,0,31,0.29558,0.41927,143.0,6.00
84025469986466.png,right_controller,0,20,0.30712,0.63233,91.0,5.50
84025469986466.png,right_controller,0,21,0.31539,0.71715,36.0,1.00
84025469986466.png,right_controller,0,22,0.29622,0.35039,72.0,3.00
84025469986466.png,right_controller,0,23,0.30725,0.62025,153.0,5.50
84025469986466.png,right_controller,0,24,0.31360,0.73950,86.0,3.00
84025469986466.png,right_controller,0,26,0.28999,0.21978,77.0,4.00
84025469986466.png,right_controller,0,27,0.30069,0.45708,85.0,3.50
84025469986466.png,right_controller,0,28,0.28954,0.26506,102.0,2.50
84025469986466.png,right_controller,0,29,0.30599,0.61657,172.0,7.50
84025469986466.png,right_controller,0,30,0.28526,0.13730,53.0,3.00
84025469986466.png,right_controller,0,31,0.29523,0.41676,137.0,6.00
84025480969415.png,right_controller,0,20,0.30689,0.63147,92.0,5.50
84025480969415.png,right_controller,0,21,0.31516,0.71598,38.0,1.00
84025480969415.png,right_controller,0,22,0.29611,0.35132,75.0,3.00
84025480969415.png,right_controller,0,23,0.30697,0.61803,156.0,6.50
84025480969415.png,right_controller,0,24,0.31332,0.73783,89.0,3.00
84025480969415.png,right_controller,0,26,0.28995,0.22210,82.0,4.00
84025480969415.png,right_controller,0,27,0.30051,0.45655,84.0,3.50
84025480969415.png,right_controller,0,28,0.28947,0.26744,104.0,2.50
84025480969415.png,right_controller,0,29,0.30568,0.61413,177.0,7.50
84025480969415.png,right_controller,0,30,0.28526,0.14084,52.0,2.50
84025480969415.png,right_controller,0,31,0.29506,0.41693,144.0,6.00
84025503163205.png,right_controller,0,20,0.30699,0.63166,88.0,6.00
84025503163205.png,right_controller,0,21,0.31517,0.71465,42.0,1.00
84025503163205.png,right_controller,0,22,0.29617,0.35076,68.0,4.00
84025503163205.png,right_controller,0,23,0.30695,0.61633,150.0,7.50
84025503163205.png,right_controller,0,24,0.31337,0.73722,86.0,2.00
84025503163205.png,right_controller,0,26,0.29006,0.22251,82.0,4.00
84025503163205.png,right_controller,0,27,0.30052,0.45522,89.0,3.50
84025503163205.png,right_controller,0,28,0.28967,0.26947,104.0,1.50
84025503163205.png,right_controller,0,29,0.30569,0.61273,166.0,8.00
84025503163205.png,right_controller,0,30,0.28544,0.14271,54.0,2.50
84025503163205.png,right_controller,0,31,0.29520,0.41791,136.0,6.50
84025514272385.png,right_controller,0,20,0.30730,0.63000,83.0,6.00
84025514272385.png,right_controller,0,21,0.31564,0.71544,41.0,1.00
84025514272385.png,right_controller,0,22,0.29669,0.35249,76.0,3.50
84025514272385.png,right_controller,0,23,0.30738,0.61644,153.0,7.50
84025514272385.png,right_controller,0,24,0.31372,0.73609,85.0,3.00
84025514272385.png,right_controller,0,26,0.29056,0.22412,82.0,4.00
84025514272385.png,right_controller,0,27,0.30103,0.45664,94.0,3.50
84025514272385.png,right_controller,0,28,0.29001,0.26821,102.0,1.50
84025514272385.png,right_controller,0,29,0.30607,0.61201,164.0,8.00
84025514272385.png,right_controller,0,30,0.28587,0.14313,56.0,3.00
84025514272385.png,right_controller,0,31,0.29550,0.41593,142.0,6.50
84025536455460.png,right_controller,0,20,0.30675,0.62812,84.0,6.00
84025536455460.png,right_controller,0,21,0.31521,0.71557,43.0,1.00
84025536455460.png,right_controller,0,22,0.29639,0.35506,70.0,2.50
84025536455460.png,right_controller,0,23,0.30688,0.61532,145.0,7.50
84025536455460.png,right_controller,0,24,0.31316,0.73411,87.0,3.50
84025536455460.png,right_controller,0,26,0.29030,0.22755,85.0,3.50
84025536455460.png,right_controller,0,27,0.30066,0.45793,92.0,3.50
84025536455460.png,right_controller,0,28,0.28960,0.26902,96.0,1.50
84025536455460.png,right_controller,0,29,0.30550,0.60997,153.0,8.00
84025536455460.png,right_controller,0,30,0.28559,0.14628,56.0,3.00
84025536455460.png,right_controller,0,31,0.29498,0.41456,130.0,6.00
84025547545606.png,right_controller,0,20,0.30721,0.63253,87.0,7.00
84025547545606.png,right_controller,0,21,0.31544,0.71544,41.0,1.00
84025547545606.png,right_controller,0,22,0.29634,0.34974,80.0,3.50
84025547545606.png,right_controller,0,23,0.30727,0.61803,154.0,6.50
84025547545606.png,right_controller,0,24,0.31365,0.73867,82.0,3.00
84025547545606.png,right_controller,0,26,0.29016,0.22039,84.0,4.00
84025547545606.png,right_controller,0,27,0.30076,0.45539,91.0,3.50
84025547545606.png,right_controller,0,28,0.28975,0.26770,99.0,2.50
84025547545606.png,right_controller,0,29,0.30601,0.61472,168.0,8.00
84025547545606.png,right_controller,0,30,0.28549,0.13978,59.0,3.00
84025547545606.png,right_controller,0,31,0.29538,0.41799,136.0,6.00
84025569743938.png,right_controller,0,20,0.30669,0.63115,84.0,6.00
84025569743938.png,right_controller,0,21,0.31502,0.71619,41.0,1.00
84025569743938.png,right_controller,0,22,0.29599,0.35186,71.0,2.00
84025569743938.png,right_controller,0,23,0.30681,0.61807,150.0,7.50
84025569743938.png,right_controller,0,24,0.31313,0.73759,85.0,3.50
84025569743938.png,right_controller,0,26,0.28983,0.22268,81.0,4.00
84025569743938.png,right_controller,0,27,0.30038,0.45696,88.0,3.50
84025569743938.png,right_controller,0,28,0.28929,0.26737,95.0,2.50
84025569743938.png,right_controller,0,29,0.30550,0.61397,155.0,8.00
84025569743938.png,right_controller,0,30,0.28511,0.14120,58.0,3.00
84025569743938.png,right_controller,0,31,0.29485,0.41661,126.0,6.50
84025580831913.png,right_controller,0,20,0.30669,0.62933,86.0,6.00
84025580831913.png,right_controller,0,21,0.31518,0.71692,42.0,1.00
84025580831913.png,right_controller,0,22,0.29622,0.35403,72.0,2.00
84025580831913.png,right_controller,0,23,0.30692,0.61793,153.0,7.50
84025580831913.png,right_controller,0,24,0.31316,0.73617,87.0,3.00
84025580831913.png,right_controller,0,26,0.29005,0.22498,85.0,4.00
84025580831913.png,right_controller,0,27,0.30058,0.45854,90.0,3.50
84025580831913.png,right_controller,0,28,0.28934,0.26659,97.0,2.50
84025580831913.png,right_controller,0,29,0.30556,0.61290,163.0,8.00
84025580831913.png,right_controller,0,30,0.28527,0.14242,63.0,3.00
84025580831913.png,right_controller,0,31,0.29485,0.41466,133.0,6.50
84025603003649.png,right_controller,0,20,0.30695,0.63034,83.0,6.00
84025603003649.png,right_controller,0,21,0.31521,0.71429,37.0,1.00
84025603003649.png,right_controller,0,22,0.29631,0.35218,71.0,2.50
84025603003649.png,right_controller,0,23,0.30694,0.61499,149.0,7.50
84025603003649.png,right_controller,0,24,0.31333,0.73564,84.0,2.00
84025603003649.png,right_controller,0,26,0.29023,0.22476,84.0,4.00
84025603003649.png,right_controller,0,27,0.30061,0.45558,87.0,3.50
84025603003649.png,right_controller,0,28,0.28975,0.27040,95.0,1.50
84025603003649.png,right_controller,0,29,0.30563,0.61085,162.0,8.00
84025603003649.png,right_controller,0,30,0.28561,0.14516,58.0,3.00
